expiry,tenor,is_target,bias,expiry_years,tenor_years,terminal,n_obs,zone,effective_bias
20Y,5Y,True,0.0,20.0,5.0,25.0,0,target,0.0
20Y,7Y,False,0.14213428753633336,20.0,7.0,27.0,253,long_positive,0.5
20Y,10Y,True,0.0,20.0,10.0,30.0,0,target,0.0
20Y,15Y,False,-0.45072281946019077,20.0,15.0,35.0,253,callable_lower,-0.2
20Y,20Y,True,0.0,20.0,20.0,40.0,0,target,0.0
20Y,25Y,False,-0.0813145173786287,20.0,25.0,45.0,253,callable_upper,-0.4
20Y,30Y,True,0.0,20.0,30.0,50.0,0,target,0.0
25Y,1Y,False,0.6609607256997179,25.0,1.0,26.0,253,long_positive,0.5
25Y,2Y,False,0.2997072667299802,25.0,2.0,27.0,253,long_positive,0.5
25Y,3Y,False,0.09788918447258085,25.0,3.0,28.0,253,long_positive,0.5
25Y,4Y,False,-0.01563559497480397,25.0,4.0,29.0,253,long_positive,0.5
25Y,5Y,False,-0.30786406050613313,25.0,5.0,30.0,253,long_positive,0.5
25Y,7Y,False,0.4700863255440938,25.0,7.0,32.0,253,long_positive,0.5
25Y,10Y,False,0.7286902699846298,25.0,10.0,35.0,253,long_positive,0.5
25Y,15Y,False,0.41975730748570284,25.0,15.0,40.0,253,long_positive,0.5
25Y,20Y,False,0.710801960540688,25.0,20.0,45.0,253,long_positive,0.5
25Y,25Y,False,0.6355117135932039,25.0,25.0,50.0,253,long_positive,0.5
25Y,30Y,False,0.6619523654588878,25.0,30.0,55.0,253,long_positive,0.5
30Y,1Y,True,0.0,30.0,1.0,31.0,0,target,0.0
30Y,2Y,True,0.0,30.0,2.0,32.0,0,target,0.0
30Y,3Y,False,-0.22238419516242566,30.0,3.0,33.0,253,long_positive,0.5
30Y,4Y,False,-0.10062611174918047,30.0,4.0,34.0,253,long_positive,0.5
30Y,5Y,True,0.0,30.0,5.0,35.0,0,target,0.0
30Y,7Y,False,0.6042183935823524,30.0,7.0,37.0,253,long_positive,0.5
30Y,10Y,True,0.0,30.0,10.0,40.0,0,target,0.0
30Y,15Y,False,-0.2698381972473496,30.0,15.0,45.0,253,long_positive,0.5
30Y,20Y,True,0.0,30.0,20.0,50.0,0,target,0.0
30Y,25Y,False,-0.13906356592954672,30.0,25.0,55.0,253,long_positive,0.5
30Y,30Y,True,0.0,30.0,30.0,60.0,0,target,0.0
2M,1Y,False,0.0,0.16666666666666666,1.0,1.1666666666666667,0,short_zero,0.0
2M,2Y,False,0.0,0.16666666666666666,2.0,2.1666666666666665,0,short_zero,0.0
2M,3Y,False,0.0,0.16666666666666666,3.0,3.1666666666666665,0,short_zero,0.0
2M,4Y,False,0.0,0.16666666666666666,4.0,4.166666666666667,0,short_zero,0.0
2M,5Y,False,0.0,0.16666666666666666,5.0,5.166666666666667,0,short_zero,0.0
2M,7Y,False,0.0,0.16666666666666666,7.0,7.166666666666667,0,short_zero,0.0
2M,10Y,False,0.0,0.16666666666666666,10.0,10.166666666666666,0,short_zero,0.0
2M,15Y,False,0.0,0.16666666666666666,15.0,15.166666666666666,0,short_zero,0.0
2M,20Y,False,0.0,0.16666666666666666,20.0,20.166666666666668,0,short_zero,0.0
2M,25Y,False,0.0,0.16666666666666666,25.0,25.166666666666668,0,short_zero,0.0
2M,30Y,False,0.0,0.16666666666666666,30.0,30.166666666666668,0,short_zero,0.0
18M,1Y,False,0.0,1.5,1.0,2.5,0,short_zero,0.0
18M,2Y,False,0.0,1.5,2.0,3.5,0,short_zero,0.0
18M,3Y,False,0.0,1.5,3.0,4.5,0,short_zero,0.0
18M,4Y,False,0.0,1.5,4.0,5.5,0,short_zero,0.0
18M,5Y,False,0.0,1.5,5.0,6.5,0,short_zero,0.0
18M,7Y,False,0.0,1.5,7.0,8.5,0,short_zero,0.0
18M,10Y,False,0.0,1.5,10.0,11.5,0,short_zero,0.0
18M,15Y,False,0.0,1.5,15.0,16.5,0,short_zero,0.0
18M,20Y,False,0.0,1.5,20.0,21.5,0,short_zero,0.0
18M,25Y,False,0.0,1.5,25.0,26.5,0,short_zero,0.0
18M,30Y,False,0.0,1.5,30.0,31.5,0,short_zero,0.0
