expiry,tenor,is_target,bias,n_obs,oos_benefit,bias_vol,mean_fit_bias,weight,effective_bias,decision
5Y,3Y,False,-0.05592442373031731,253,0.009535295042737452,0.1533366708068372,0.16456786246606556,1.0,-0.05592442373031731,apply
5Y,4Y,False,-0.03380808921680528,253,-0.030415141083402403,0.1460414629395119,0.037680069805362426,0.0,-0.0,zero
5Y,5Y,True,0.0,0,,,,0.0,0.0,target
5Y,7Y,False,-0.18551214523769372,253,0.02343363209720506,0.11770105905604254,0.008536668793139435,0.07252839406546682,-0.013454897973729564,shrink
5Y,10Y,True,0.0,0,,,,0.0,0.0,target
5Y,15Y,False,-0.2281414832812034,253,0.14468171712565478,0.303885597720427,0.32177774542661386,1.0,-0.2281414832812034,apply
5Y,20Y,True,0.0,0,,,,0.0,0.0,target
5Y,25Y,False,-0.09935216968765213,253,0.19006486870893696,0.2097769137398593,-0.36935611147825037,1.0,-0.09935216968765213,apply
5Y,30Y,True,0.0,0,,,,0.0,0.0,target
6Y,1Y,False,-0.07164187707562901,253,0.03404508498040704,0.33907663198058824,-0.3337157794218827,0.9841898495706054,-0.07050920822201912,shrink
6Y,2Y,False,0.046248780240456144,253,-0.03902758056003597,0.19457618238254076,0.06669595264089528,0.0,0.0,zero
6Y,3Y,False,-0.08549801083898204,253,0.02358297723912023,0.23294689806724533,0.23334503696554912,1.0,-0.08549801083898204,apply
6Y,4Y,False,-0.042602509067016146,253,0.0986527520112278,0.09271700258264928,0.2872527192931799,1.0,-0.042602509067016146,apply
6Y,5Y,False,0.02737190883180967,253,0.147604380532936,0.11829294611320582,0.32663884719710556,1.0,0.02737190883180967,apply
6Y,7Y,False,-0.1332745815160272,253,0.17986846384034322,0.20324458453234998,0.3446934767830624,1.0,-0.1332745815160272,apply
6Y,10Y,False,0.036215151521844686,253,0.1523740957845212,0.09473379960221125,0.2889249628933918,1.0,0.036215151521844686,apply
6Y,15Y,False,-0.25825023545584824,253,0.2684875144875131,0.39129483224693523,0.5238286520150262,1.0,-0.25825023545584824,apply
6Y,20Y,False,0.0462491233559486,253,0.14548976183450354,0.06978292991951385,0.2743369112136272,1.0,0.0462491233559486,apply
6Y,25Y,False,-0.046199579215968435,253,0.01409597513800187,0.15178066787221114,-0.0768336035306049,0.5062146886538508,-0.023386905608750376,shrink
6Y,30Y,False,0.047728751278512,253,0.14114643249565945,0.06758933871291911,0.26622234959761004,1.0,0.047728751278512,apply
7Y,1Y,False,-0.13133366323827628,253,0.041945475795069465,0.22628771637389716,-0.2790982332238327,1.0,-0.13133366323827628,apply
7Y,2Y,False,0.04985294321502695,253,-0.016872405455985173,0.15930819534226884,-0.018932123154532403,0.0,0.0,zero
7Y,3Y,False,-0.1084906381036705,253,-0.01783217795865727,0.17142613264386197,0.18538947474188436,0.0,-0.0,zero
7Y,4Y,False,-0.08908535804971822,253,0.11154106119887125,0.0980364405863222,0.3372451644083147,1.0,-0.08908535804971822,apply
7Y,5Y,False,0.03560949527666974,253,0.15407979485368017,0.13372570213324353,0.39932457449977593,1.0,0.03560949527666974,apply
